"","can_name_clean","yr","cst","cst_n","sub","pty_n","seat","cabinet_role","twitter","facebook","fb_China","tw_China"
"487","BONDOC RIMPY",2019,186,"PAMPANGA 4","REGION III","PDP-LABAN",1,NA,NA,"https://www.facebook.com/Idolo-ning-Masa-110591710285062",0,0
"488","BONGUYAN LUIS CABAHUG",2013,101,"DAVAO CITY 1","XI","HUGPONG",0,NA,NA,"NA",0,0
"489","BONOAN ANNIE",2016,85,"CITY OF MANILA 4","NATIONAL¬†CAPITAL¬†REGION","NUP",0,NA,NA,NA,0,0
"490","BONOAN DAVID MA THERESA B",2010,85,"CITY OF MANILA 4","NATIONAL CAPITAL REGION","LAKAS-KABALIKAT NG MALAYANG PILIPINO-DEMOKRATIKONG KRISTIYANO AT MUSLIM",1,NA,NA,"https://www.facebook.com/Atty-Trisha-Bonoan-353506178150178; NA; https://www.facebook.com/attytrishabonoan",0,0
"491","BONOAN DAVID MA THERESA BRONDIAL",2013,85,"CITY OF MANILA 4","NCR - FIRST DISTRICT","NUP",1,NA,NA,"https://www.facebook.com/Atty-Trisha-Bonoan-353506178150178; NA; https://www.facebook.com/attytrishabonoan",0,0
"492","BONOAN DAVID TRISHA",2019,85,"CITY OF MANILA 4","NATIONAL CAPITAL REGION","NUP",0,NA,NA,"https://www.facebook.com/Atty-Trisha-Bonoan-353506178150178; NA; https://www.facebook.com/attytrishabonoan",0,0
"493","BOOC JOSE ONG",2013,114,"ILIGAN CITY","X","IND",0,NA,NA,NA,0,0
"494","BORDADO GABRIEL JR",2016,52,"CAMARINES SUR 3","REGION V","LP",1,NA,"127130149; 763568697042579328","NA; https://www.facebook.com/Rep-Gabriel-Hidalgo-Bordado-Jr-Camarines-Sur-242980563064616",1,0
"495","BORDADO GABRIEL JR",2019,52,"CAMARINES SUR 3","REGION V","LP",1,NA,"127130149; 763568697042579328","NA; https://www.facebook.com/Rep-Gabriel-Hidalgo-Bordado-Jr-Camarines-Sur-242980563064616",1,0
"496","BORJA JOJO",2016,114,"ILIGAN","REGION X","IND",0,NA,NA,NA,0,0
"497","BORJA URIEL GARCIA",2013,114,"ILIGAN CITY","X","PLM",0,NA,NA,NA,0,0
"498","BOTE VIRGILIO",2016,175,"NUEVA ECIJA 4","REGION III","IND",0,NA,NA,NA,0,0
"499","BRAGANZA GERARDO C",2010,103,"DAVAO CITY 3","REGION XI","INDEPENDENT",0,NA,"2806467114","NA",0,0
"500","BRAVO MARIA VIDA ESPINOSA",2013,152,"MASBATE 1","V","NUP",1,NA,"483746494","NA",0,0
"501","BRAVO MARIA VIDA ESPINOSA",2016,152,"MASBATE 1","REGION V","NUP",1,NA,"483746494","NA",0,0
"502","BRAVO NARCISO JR R",2010,152,"MASBATE 1","REGION V","LAKAS-KABALIKAT NG MALAYANG PILIPINO-DEMOKRATIKONG KRISTIYANO AT MUSLIM",1,NA,"1243002322440974336","NA; NA",0,0
"503","BRAVO NARCISO JR R",2019,152,"MASBATE 1","REGION V","NUP",1,NA,"1243002322440974336","NA; NA",0,0
"504","BRILLANTES JOSELITO",2016,104,"DAVAO DE ORO (COMPOSTELA VALLEY) 1","REGION XI","AKSYON",0,NA,NA,"https://www.facebook.com/MAYOR-Joselito-B-Brillantes-638398526279440; NA",0,0
"505","BRINGAS JOSELITO",2016,1,"ABRA","CORDILLERA¬†ADM.¬†REGION","IND",0,NA,NA,"NA; https://www.facebook.com/joselitobersaminbringasmd",0,0
"506","BRIZUELA  WILFREDO L",2010,8,"ALBAY 1","REGION V","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,NA,0,0
"507","BRUCE NARDS",2019,8,"ALBAY 1","REGION V","PDDS",0,NA,NA,"NA; NA; NA; NA; NA",0,0
"508","BUENA MARK ORLINE",2016,60,"CAVITE 2","REGION IV-A","LP",0,NA,NA,NA,0,0
"509","BULANON SILVERIO GOMEZ",2013,77,"CITY OF ANTIPOLO 2","IV-A","IND",0,NA,NA,NA,0,0
"510","BULAONG FELIZARDO D",2010,89,"CITY OF MARIKINA 2","NATIONAL CAPITAL REGION","INDEPENDENT",0,NA,NA,NA,0,0
"511","BULAY REY E",2010,90,"CITY OF MUNTINLUPA","NATIONAL CAPITAL REGION","INDEPENDENT",0,NA,NA,"https://www.facebook.com/Rey-E-Bulay-319436573911; NA",0,0
"512","BULUT BEGTANG ELEANOR",2016,12,"APAYAO","CORDILLERA¬†ADM.¬†REGION","NPC",1,NA,NA,NA,0,0
"513","BULUT ELIAS JR",2019,12,"APAYAO","CORDILLERA ADM. REGION","NPC",1,NA,NA,NA,0,0
"514","BUNAN KARLA L",2010,152,"MASBATE 1","REGION V","PWERSA NG MASANG PILIPINO",0,NA,NA,NA,0,0
"515","BURGOS PRESSBURGOS",2019,22,"BATANGAS 3","REGION IV-A","WPP",0,NA,NA,"NA",0,0
"516","BURGOS RAFAEL I",2010,90,"CITY OF MUNTINLUPA","NATIONAL CAPITAL REGION","INDEPENDENT",0,NA,NA,"NA",0,0
"517","BURGOS RAFAEL IMPERIO",2013,90,"CITY OF MUNTINLUPA","NCR - FOURTH DISTRICT","IND",0,NA,NA,"NA",0,0
"518","BUSTAMANTE PRAXEDES D",2010,23,"BATANGAS 4","REGION IV-A","INDEPENDENT",0,NA,NA,NA,0,0
"519","BUTALID RICARDO JR BARTOLABAC",2013,152,"MASBATE 1","V","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,"NA",0,0
"520","CABAGNOT PHOEBE CLARICE LEGASPI",2013,6,"AKLAN","VI","IND",0,NA,NA,"https://www.facebook.com/ningcabagnorforcongress",0,0
"521","CABAHUG KWIN",2019,142,"LAPU-LAPU","REGION VII","UNA",0,NA,NA,NA,0,0
"522","CABAHUG PAULO",2016,142,"LAPU-LAPU","REGION VII","IND",0,NA,NA,"NA; NA; NA; https://www.facebook.com/Paulo-Cabahug-613817089094814",0,0
"523","CABALIT JOAHNA",2016,29,"BOHOL 1","REGION VII","UNA",0,NA,NA,"NA; NA",0,0
"524","CABALLERO JOSE",2016,105,"DAVAO DE ORO (COMPOSTELA VALLEY)  2","REGION XI","AKSYON",0,NA,NA,NA,0,0
"525","CABALLERO JOSE R",2010,105,"COMPOSTELA VALLEY 2","REGION XI","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,NA,0,0
"526","CABALUNA SALVADOR III PAULINO",2013,120,"ILOILO 2","VI","IND",0,NA,NA,"NA; https://www.facebook.com/CABALUNAkami",0,0
"527","CABANLAS EDGAR",2016,44,"CAGAYAN DE ORO 2","REGION X","LP",0,NA,"121038175","NA",0,0
"528","CABARRUBIAS CHRISLER TANCINCO",2013,235,"ZAMBOANGA CITY 1","IX","PWERSA NG MASANG PILIPINO",0,NA,NA,"NA; NA",0,0
"529","CABAYA LORETO JR",2019,96,"COTABATO (NORTH COT.) 1","REGION XII","NP",0,NA,"2527786051; 2567416173","NA; NA; https://www.facebook.com/EnpLoretoVCabayaJrMPA; https://www.facebook.com/BosesNgDistritoUno",0,0
"530","CABIGAN GREGORIO S",2010,194,"QUEZON 1","REGION IV-A","PHILIPPINE GRREN REPUBLICAN PARTY",0,NA,NA,NA,0,0
"531","CABILAO BELMA",2016,242,"ZAMBOANGA SIBUGAY 1","REGION IX","NP",0,NA,NA,NA,0,0
"532","CABILAO BELMA ARELLANO",2013,242,"ZAMBOANGA SIBUGAY 1","IX","PARTIDO NACIONALISTA",1,NA,NA,NA,0,0
"533","CABINTE WILFREDO L",2010,118,"ILOCOS SUR 2","REGION I","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,NA,0,0
"534","CABISONG JR  JUAN V",2010,109,"DAVAO ORIENTAL 2","REGION XI","INDEPENDENT",0,NA,NA,"NA; NA; https://www.facebook.com/Juan-V-Cabisong-JVC-102898787933807",0,0
"535","CABOCHAN CARLOS V",2010,47,"CALOOCAN CITY 2","NATIONAL CAPITAL REGION","ANG KAPATIRAN",0,NA,"742688024","NA; NA; https://www.facebook.com/CARLING-CABOCHAN-UNA-SA-KABUTIHAN-326079166602",1,0
"536","CABOCHAN CARLOS V",2013,47,"CALOOCAN CITY 2","NCR - THIRD DISTRICT","KPTRAN",0,NA,"742688024","NA; NA; https://www.facebook.com/CARLING-CABOCHAN-UNA-SA-KABUTIHAN-326079166602",1,0
"537","CABOCHAN JOSE DE LEON",2013,38,"BULACAN 3","III","UNA",0,NA,NA,NA,0,0
"538","CABREDO FERNANDO",2019,10,"ALBAY 3","REGION V","PDP-LABAN",1,NA,NA,"NA; NA; https://www.facebook.com/CongDidiCabredo",0,0
"539","CABRERA GLORIA",2016,228,"TAGUIG CITY-PATEROS","NCR","IND",0,NA,NA,NA,0,0
"540","CABRERA GLORIA",2019,228,"TAGUIG CITY-PATEROS","NCR","IND",0,NA,NA,NA,0,0
"541","CABRERA JOSE CESAR M",2010,207,"ROMBLON","REGION IV-B","INDEPENDENT",0,NA,NA,NA,0,0
"542","CABUHAT NOEL",2019,47,"CALOOCAN 2","NCR - THIRD DISTRICT","NUP",0,NA,NA,"NA",0,0
"543","CADIZ DOC CADIZ",2019,88,"CITY OF MARIKINA 1","NCR - SECOND DISTRICT","LP",0,NA,NA,"NA; NA; NA; https://www.facebook.com/Hon-Vice-Mayor-Jose-Fabian-I-Cadiz-156648641085894; https://www.facebook.com/docfabiancadiz",0,0
"544","CAGAS MARC DOUGLAS IV C",2010,106,"DAVAO DEL SUR 1","REGION XI","PARTIDO NACIONALISTA",1,NA,NA,"NA",0,0
"545","CAGAS MERCEDES",2016,106,"DAVAO DEL SUR","REGION XI","NP",1,NA,NA,"NA",0,0
"546","CAGAS MERCEDES",2019,106,"DAVAO DEL SUR","REGION XI","NP",1,NA,NA,"NA",0,0
"547","CAGAS MERCEDES CHAN",2013,106,"DAVAO DEL SUR 1","XI","PARTIDO NACIONALISTA",1,NA,NA,"NA",0,0
"548","CAJAYON MARY MITZI L",2010,47,"CALOOCAN CITY 2","NATIONAL CAPITAL REGION","LAKAS-KABALIKAT NG MALAYANG PILIPINO-DEMOKRATIKONG KRISTIYANO AT MUSLIM",1,NA,"435422861","NA; NA; https://www.facebook.com/mitchcajayonofficial",1,1
"549","CAJAYON MARY MITZI L",2013,47,"CALOOCAN CITY 2","NCR - THIRD DISTRICT","NUP",0,NA,"435422861","NA; NA; https://www.facebook.com/mitchcajayonofficial",1,1
"550","CAJAYON MARY MITZI L",2016,47,"CALOOCAN¬†2","NCR¬†-¬†THIRD¬†DISTRICT","NPC",0,NA,"435422861","NA; NA; https://www.facebook.com/mitchcajayonofficial",1,1
"551","CAJES JUDITH D",2010,30,"BOHOL 2","REGION VII","INDEPENDENT",0,NA,NA,"NA",0,0
"552","CAJES ROBERTO CASTAÑO",2013,30,"BOHOL 2","VII","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,"NA; https://www.facebook.com/Atty-Roberto-C-Cajes-PhD-144987285629686",0,0
"553","CALALAY BOY",2016,198,"QUEZON CITY 1","NCR¬†-¬†SECOND¬†DISTRICT","LP",0,NA,NA,NA,0,0
"554","CALALAY FRANCISCO JR ALDANA",2013,198,"QUEZON CITY 1","NCR - SECOND DISTRICT","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,NA,0,0
"555","CALDERON PETER JOHN",2016,73,"CEBU 7","REGION VII","LP",1,NA,NA,"NA; https://www.facebook.com/congpetercalderon",1,0
"556","CALDERON PETER JOHN",2019,73,"CEBU 7","REGION VII","NPC",1,NA,NA,"NA; https://www.facebook.com/congpetercalderon",1,0
"557","CALDERON REYNAN PASCUA",2013,18,"BATAAN 2","III","MKB",0,NA,NA,"NA",0,0
"558","CALINGIN ALVIN ROA",2013,43,"CAGAYAN DE ORO CITY 1","X","AKSYON DEMOKRATIKO",0,NA,NA,NA,0,0
"559","CALINGIN ANTONIO PADILLA",2013,158,"MISAMIS ORIENTAL 2","X","IND",0,NA,NA,NA,0,0
"560","CALIXTO ANTONINO",2019,193,"PASAY","NCR - FOURTH DISTRICT","PDP-LABAN",1,NA,NA,"https://www.facebook.com/Mayor-Antonino-G-Calixto-809390352540692; NA",0,0
"561","CALIXTO RUBIANO IMELDA G",2010,193,"PASAY CITY","NATIONAL CAPITAL REGION","PARTIDO LIBERAL NG PILIPINAS",1,NA,"1179717184299266048","https://www.facebook.com/emicalixto; https://www.facebook.com/officeofMayorEmi",1,0
"562","CALIXTO RUBIANO IMELDA G",2013,193,"PASAY CITY","NCR - FOURTH DISTRICT","PARTIDO LIBERAL NG PILIPINAS",1,NA,"1179717184299266048","https://www.facebook.com/emicalixto; https://www.facebook.com/officeofMayorEmi",1,0
"563","CALIXTO RUBIANO IMELDA G",2016,193,"PASAY","NCR¬†-¬†FOURTH¬†DISTRICT","LP",1,NA,"1179717184299266048","https://www.facebook.com/emicalixto; https://www.facebook.com/officeofMayorEmi",1,0
"564","CALMA ERNESTO SIMON",2013,230,"TARLAC 2","III","IND",0,NA,NA,NA,0,0
"565","CALO JOVITTE C",2010,3,"AGUSAN DEL NORTE 2","REGION XIII (CARAGA)","INDEPENDENT",0,NA,NA,"NA",0,0
"566","CAMENDAN HABBAS SABPA",2013,149,"MAGUINDANAO 2","ARMM","IND",0,NA,NA,NA,0,0
"567","CAMINERO WILFREDO",2016,68,"CEBU 2","REGION VII","LP",1,NA,NA,"NA; https://www.facebook.com/CongWillyCaminero",0,0
"568","CAMINERO WILFREDO SARDIDO",2013,68,"CEBU 2","VII","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,"NA; https://www.facebook.com/CongWillyCaminero",0,0
"569","CAMINERO WILLY",2019,68,"CEBU 2","REGION VII","NUP",1,NA,NA,"NA; https://www.facebook.com/CongWillyCaminero",0,0
"570","CAMPAÑA DENCITO PRESA",2013,64,"CAVITE 6","IV-A","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,"https://www.facebook.com/DencitoOsboyCampana; NA",0,0
"571","CAMPOS FERNANDO C",2010,62,"CAVITE 4","REGION IV-A","INDEPENDENT",0,NA,NA,NA,0,0
"572","CAMPOS LUIS",2016,80,"CITY OF MAKATI¬†2","NCR¬†-¬†FOURTH¬†DISTRICT","UNA",1,NA,NA,"NA; https://www.facebook.com/CongressmanLuisNCampos",1,0
"573","CAMPOS LUIS",2019,80,"CITY OF MAKATI 2","NCR - FOURTH DISTRICT","NPC",1,NA,NA,"NA; https://www.facebook.com/CongressmanLuisNCampos",1,0
"574","CAMPOS RAMON N",2010,62,"CAVITE 4","REGION IV-A","PARTIDO NACIONALISTA",0,NA,NA,NA,0,0
"575","CANADA  GREGORIO C",2010,103,"DAVAO CITY 3","REGION XI","PARTIDO NACIONALISTA",0,NA,NA,NA,0,0
"576","CANDAZA FRANCISCO CONTE",2013,87,"CITY OF MANILA 6","NCR - FIRST DISTRICT","IND",0,NA,NA,NA,0,0
"577","CANDAZO ROMEO D",2010,89,"CITY OF MARIKINA 2","NATIONAL CAPITAL REGION","PWERSA NG MASANG PILIPINO",0,NA,NA,"NA",0,0
"578","CANLAS CECILIA",2019,185,"PAMPANGA 3","REGION III","IND",0,NA,NA,"NA",0,0
"579","CANOY ABE",2016,67,"CEBU 1","REGION VII","NPC",0,NA,"4099354212","NA",0,0
"580","CAOAGDAN RUDY",2019,97,"COTABATO (NORTH COT.) 2","REGION XII","NP",1,NA,NA,"NA; https://www.facebook.com/Rudy-Caoagdan-503184793175077; NA; https://www.facebook.com/rsc6564",1,0
"581","CAPELA HENRY",2016,118,"ILOCOS SUR 2","REGION I","IND",0,NA,NA,NA,0,0
"582","CAPELA HENRY SUERTEFELIPE",2013,118,"ILOCOS SUR 2","I","AKSYON DEMOKRATIKO",0,NA,NA,NA,0,0
"583","CARASCO ALBERTO P",2010,206,"RIZAL 2","REGION IV-A","PARTIDO LIBERAL NG PILIPINAS",0,NA,NA,NA,0,0
"584","CARBIERO ROGELIO GUZMAN",2013,241,"ZAMBOANGA DEL SUR 2","IX","IND",0,NA,NA,NA,0,0
"585","CARBONELL JIMMY LAGAN",2013,182,"PALAWAN 3","IV-B","IND",0,NA,NA,"NA",0,0
"586","CARBONELL OSWALDO A",2010,79,"CITY OF MAKATI 1","NATIONAL CAPITAL REGION","KILUSANG BAGONG LIPUNAN",0,NA,NA,NA,0,0
