"","can_name_clean","yr","sub","cst_n","cst","pty_n","seat","cabinet_role","twitter","facebook","fb_China","tw_China"
"759","MOHAMAD BIN SABU",2018,"SELANGOR","DISTRICT 111 (KOTA RAJA)",111,"PARTI KEADILAN RAKYAT",1,"Minister of Defense","996999686438375424","https://www.facebook.com/mohamadsabuofficial",1,1
"760","MOHAMAD FATMI BIN CHE SALLEH",2008,"KELANTAN","DISTRICT 021 (KOTA BHARU)",21,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",0,"none","59365547","NA",0,1
"761","MOHAMAD FATMI BIN CHE SALLEH",2013,"KELANTAN","DISTRICT 021 (KOTA BHARU)",21,"BARISAN NASIONAL",0,"none","59365547","NA",0,1
"762","MOHAMAD IMRAN BIN ABD HAMID",2013,"PERAK","DISTRICT 074 (LUMUT)",74,"PARTI KEADILAN RAKYAT",1,"none","990964151999651840","https://www.facebook.com/Laksamana-Pertama-Bersara-Hj-Imran-Abd-Hamid-336996436412029",1,1
"763","MOHAMAD NOR BIN ENDOT",2018,"TERENGGANU","DISTRICT 037 (MARANG)",37,"BARISAN NASIONAL",0,"none","1542361632","NA",0,0
"764","MOHAMAD ROSHARIZAN",2018,"SELANGOR","DISTRICT 103 (PUCHONG)",103,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"765","MOHAMAD SHAHRUM OSMAN",2008,"PAHANG","DISTRICT 079 (LIPIS)",79,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"none","559669540","NA",0,1
"766","MOHAMAD SUKERI BIN ABDUL SAMAT",2013,"W.P. KUALA LUMPUR","DISTRICT 124 (BANDAR TUN RAZAK)",124,"INDEPENDENT",0,"none",NA,"NA",0,0
"767","MOHAMED AZMIN BIN ALI",2008,"SELANGOR","DISTRICT 098 (GOMBAK)",98,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",1,"none","66037128","https://www.facebook.com/MohamedAzminAli",1,1
"768","MOHAMED AZMIN BIN ALI",2013,"SELANGOR","DISTRICT 098 (GOMBAK)",98,"PARTI KEADILAN RAKYAT",1,"none","66037128","https://www.facebook.com/MohamedAzminAli",1,1
"769","MOHAMED AZMIN BIN ALI",2018,"SELANGOR","DISTRICT 098 (GOMBAK)",98,"PARTI KEADILAN RAKYAT",1,"Minister of Economic Affairs ; Minister of International Trade and Industries","66037128","https://www.facebook.com/MohamedAzminAli",1,1
"770","MOHAMED HANIPA BIN MAIDIN",2008,"SELANGOR","DISTRICT 095 (TANJONG KARANG)",95,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PAN-ISLAMIC MALAYSIAN PARTY",0,"none","1584898896","https://www.facebook.com/pejabatahliparlimensepang",1,1
"771","MOHAMED HANIPA BIN MAIDIN",2013,"SELANGOR","DISTRICT 113 (SEPANG)",113,"PARTI ISLAM SE MALAYSIA",1,"none","1584898896","https://www.facebook.com/pejabatahliparlimensepang",1,1
"772","MOHAMED HANIPA BIN MAIDIN",2018,"SELANGOR","DISTRICT 113 (SEPANG)",113,"PARTI KEADILAN RAKYAT",1,"Deputy Minister in the Prime Minister's Department: Legal Affairs","1584898896","https://www.facebook.com/pejabatahliparlimensepang",1,1
"773","MOHAMED KHALED NORDIN",2008,"JOHOR","DISTRICT 159 (PASIR GUDANG)",159,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"Minister of Higher Education","1340608238820098048","https://www.facebook.com/MohamedKhaledNordin",1,1
"774","MOHAMED KHALED NORDIN",2018,"JOHOR","DISTRICT 159 (PASIR GUDANG)",159,"BARISAN NASIONAL",0,"none","1340608238820098048","https://www.facebook.com/MohamedKhaledNordin",1,1
"775","MOHAMED SALLEH BIN M HUSIN",2013,"SELANGOR","DISTRICT 093 (SUNGAI BESAR)",93,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"776","MOHAMED SUFFIAN BIN AWANG",2013,"PAHANG","DISTRICT 083 (KUANTAN)",83,"BARISAN NASIONAL",0,"none","586225521","NA; https://www.facebook.com/Suffian-Awang-614385705256887",0,1
