"","can_name_clean","yr","sub","cst_n","cst","pty_n","seat","cabinet_role","twitter","facebook","fb_China","tw_China"
"312","DOMINIC LAU HOE CHAI",2018,"W.P. KUALA LUMPUR","DISTRICT 115 (BATU)",115,"BARISAN NASIONAL",0,"none","67249778","https://www.facebook.com/DominicLauGerakan; NA",1,1
"313","DONALD LIM SIANG CHAI",2008,"SELANGOR","DISTRICT 105 (PETALING JAYA SELATAN)",105,"NATIONAL FRONT - MALAYSIA CHINESE ASSOCIATION",0,"Deputy Minister of Finance","181814417","NA",0,1
"314","DONALD LIM SIANG CHAI",2013,"SELANGOR","DISTRICT 097 (SELAYANG)",97,"BARISAN NASIONAL",0,"none","181814417","NA",0,1
"315","DOUGLAS UGGAH EMBAS",2008,"SARAWAK","DISTRICT 204 (BETONG)",204,"NATIONAL FRONT - UNITED TRADITIONAL BUMIPUTERA PARTY",1,"Minister of Natural Resources and Environment","545585099","https://www.facebook.com/BukitSaban37",1,1
"316","DOUGLAS UGGAH EMBAS",2013,"SARAWAK","DISTRICT 204 (BETONG)",204,"BARISAN NASIONAL",1,"Minister of Plantation Industries and Commodities","545585099","NA",1,1
"317","DR AHMAD RAMADZAN",2018,"PERAK","DISTRICT 076 (TELUK INTAN)",76,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/DrAhmadRamadzan",1,0
"318","DR AHMAD TERMIZI RAMLI",2018,"PERAK","DISTRICT 067 (KUALA KANGSAR)",67,"PARTI KEADILAN RAKYAT",0,"none",NA,"https://www.facebook.com/drtermiziramli",0,0
"319","DR BAHAROM MOHAMAD",2018,"JOHOR","DISTRICT 164 (PONTIAN)",164,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"320","DR HAMZAH BIN JAAFFAR",2013,"PAHANG","DISTRICT 081 (JERANTUT)",81,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/Hamzahjaaffar",0,0
"321","DR HASAN BAHROM",2018,"NEGERI SEMBILAN","DISTRICT 133 (TAMPIN)",133,"PARTI KEADILAN RAKYAT",1,"none",NA,"https://www.facebook.com/P133DrBaharom; NA",0,0
"322","DR HJ ABD RANI BIN OSMAN",2018,"SELANGOR","DISTRICT 109 (KAPAR)",109,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/dr.abdrani",1,0
"323","DR IR YAZID",2018,"KELANTAN","DISTRICT 031 (KUALA KRAI)",31,"PARTI KEADILAN RAKYAT",0,"none",NA,"https://www.facebook.com/irdrmohdyazid",1,0
"324","DR ISHAK IBRAHIM",2018,"PERAK","DISTRICT 062 (SUNGAI SIPUT)",62,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"325","DR JAPAR BIN ZAIRUN",2018,"SABAH","DISTRICT 183 (BELURAN)",183,"PARTI WARISAN SABAH",0,"none",NA,"NA",0,0
"326","DR JOSEPH LEE HAN KYUN",2018,"SABAH","DISTRICT 172 (KOTA KINABALU)",172,"BARISAN NASIONAL",0,"none",NA,"NA",0,0
"327","DR KUMAR",2018,"PERAK","DISTRICT 062 (SUNGAI SIPUT)",62,"PARTI SOSIALIS MALAYSIA",0,"none",NA,"https://www.facebook.com/kumar.psm",0,0
"328","DR MAH HANG SOON",2018,"PERAK","DISTRICT 077 (TANJONG MALIM)",77,"BARISAN NASIONAL",0,"Deputy Minister of Education II","1242100271334842368","https://www.facebook.com/DrMahHangSoon",0,1
"329","DR MAHATHIR BIN MOHAMAD",2018,"KEDAH","DISTRICT 004 (LANGKAWI)",4,"PARTI KEADILAN RAKYAT",1,"7th Prime Minister","2974181588","https://www.facebook.com/TunDrMahathir",1,1
"330","DR MANSOR BIN ABD RAHMAN",2018,"KEDAH","DISTRICT 013 (SIK)",13,"BARISAN NASIONAL",0,"none",NA,"NA",0,0
"331","DR MASZLEE MALIK",2018,"JOHOR","DISTRICT 151 (SIMPANG RENGGAM)",151,"PARTI KEADILAN RAKYAT",1,"Minister of Education","119162565","https://www.facebook.com/DrMaszleeMalik",1,1
"332","DR MOHD MAZRI BIN YAHYA",2018,"JOHOR","DISTRICT 161 (PULAI)",161,"PARTI ISLAM SE MALAYSIA",0,"none","60849268","https://www.facebook.com/Dr-Mohd-Mazri-Yahya-2459663617391305",1,0
"333","DR MOHD ZUHDI BIN MARSUKI",2018,"SELANGOR","DISTRICT 108 (SHAH ALAM)",108,"PARTI ISLAM SE MALAYSIA",0,"none","352119186","NA",0,1
"334","DR PAUL PORODONG",2018,"SABAH","DISTRICT 168 (KOTA MARUDU)",168,"PARTI CINTA SABAH",0,"none",NA,"NA",0,0
"335","DR RADZI JIDIN",2018,"KELANTAN","DISTRICT 026 (KETEREH)",26,"PARTI KEADILAN RAKYAT",0,"Deputy Minister of Economic Affairs ; Minister of Education","1020545677766488064","https://www.facebook.com/DrRadziJidin",1,1
"336","DR RICARDO YAMPIL BABA",2018,"SARAWAK","DISTRICT 221 (LIMBANG)",221,"PARTI KEADILAN RAKYAT",0,"none",NA,"NA",0,0
"337","DR ROSNI ADAM",2018,"W.P. KUALA LUMPUR","DISTRICT 124 (BANDAR TUN RAZAK)",124,"PARTI ISLAM SE MALAYSIA",0,"none","1163407063","https://www.facebook.com/drrosniadam",0,0
"338","DR SALIHUDDIN",2018,"PERAK","DISTRICT 073 (PASIR SALAK)",73,"PARTI KEADILAN RAKYAT",0,"none",NA,"https://www.facebook.com/radinsrs",1,0
"339","DR SHAH",2018,"KELANTAN","DISTRICT 023 (RANTAU PANJANG)",23,"PARTI KEADILAN RAKYAT",0,"none",NA,"https://www.facebook.com/DrShahJihan",0,0
"340","DR SIM KUI HIAN",2018,"SARAWAK","DISTRICT 196 (STAMPIN)",196,"BARISAN NASIONAL",0,"none","185968077","https://www.facebook.com/dr.sim.kui.hian",1,1
"341","DR TENGKU ASMADI",2018,"TERENGGANU","DISTRICT 035 (KUALA NERUS)",35,"BARISAN NASIONAL",0,"none","43587502","https://www.facebook.com/drasmadi",1,1
"342","DR WAN MAT",2018,"SELANGOR","DISTRICT 094 (HULU SELANGOR)",94,"PARTI ISLAM SE MALAYSIA",0,"none","1001794997530779520","NA",0,0
"343","DR XAVIER JAYAKUMAR",2018,"SELANGOR","DISTRICT 112 (KUALA LANGAT)",112,"PARTI KEADILAN RAKYAT",1,"Minister of Water, Land and Natural Resources","57874799","https://www.facebook.com/xavierjayakumar",1,1
"344","DR ZAIDI BIN ZAKARIA",2018,"PULAU PINANG","DISTRICT 041 (KEPALA BATAS)",41,"PARTI KEADILAN RAKYAT",0,"none",NA,"https://www.facebook.com/Dr-Zaidi-Zakaria-Langitbiru-1727571587483700; NA",1,0
"345","DRIPIN ANAK SAKOI",2013,"SARAWAK","DISTRICT 198 (MAMBONG)",198,"PARTI REFORMASI NEGERI",0,"none",NA,"NA",0,0
"346","DULI  DULLIE BIN MARI  MARIE",2013,"SABAH","DISTRICT 173 (PUTATAN)",173,"PARTI MAJU SABAH",0,"none",NA,"NA",0,0
"347","DUMI BIN PG MASDAL",2013,"SABAH","DISTRICT 188 (SILAM)",188,"INDEPENDENT",0,"none",NA,"https://www.facebook.com/Haji-Dumi-Pg-Masdal-184759118836900",0,0
"348","DZULKEFLY BIN AHMAD",2008,"SELANGOR","DISTRICT 096 (KUALA SELANGOR)",96,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PAN-ISLAMIC MALAYSIAN PARTY",1,"none","132443932","https://www.facebook.com/Drdzulfanpage",1,1
"349","DZULKEFLY BIN AHMAD",2013,"SELANGOR","DISTRICT 096 (KUALA SELANGOR)",96,"PARTI ISLAM SE MALAYSIA",0,"none","132443932","https://www.facebook.com/Drdzulfanpage",1,1
"350","DZULKEFLY BIN AHMAD",2018,"SELANGOR","DISTRICT 096 (KUALA SELANGOR)",96,"PARTI KEADILAN RAKYAT",1,"Minister of Health","132443932","https://www.facebook.com/Drdzulfanpage",1,1
"351","EDDIN SYAZLEE SHITH",2018,"NEGERI SEMBILAN","DISTRICT 129 (KUALA PILAH)",129,"PARTI KEADILAN RAKYAT",1,"Deputy Minister of Communication and Multimedia ; Deputy Minister of Works","1014709542188302336","https://www.facebook.com/ybeddinsyazlee",1,1
"352","EDMUND JIVOL DOUDILIM",2018,"SABAH","DISTRICT 173 (PUTATAN)",173,"PARTI HARAPAN RAKYAT SABAH",0,"none",NA,"NA",0,0
"353","EDROS BIN ABDULLAH",2013,"SELANGOR","DISTRICT 107 (SUBANG)",107,"INDEPENDENT",0,"none","719438444","NA",0,1
"354","EDWIN  JACK BOSI",2008,"SABAH","DISTRICT 174 (PENAMPANG)",174,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",0,"none","118327181","https://www.facebook.com/Dr-Edwin-Jack-Bosi-106686404525966",0,1
"355","EDWIN  JACK BOSI",2018,"SABAH","DISTRICT 174 (PENAMPANG)",174,"PARTI KERJASAMA ANAK NEGERI",0,"none","118327181","https://www.facebook.com/Dr-Edwin-Jack-Bosi-106686404525966",0,1
"356","EJAZI YAHAYA",2018,"PERAK","DISTRICT 061 (PADANG RENGAS)",61,"PARTI KEADILAN RAKYAT",0,"none",NA,"https://www.facebook.com/ejazibinyahaya; https://www.facebook.com/Ejazi-Yahaya-Official-865490493622719",0,0
"357","ELBERT BIN SIKUIL",2018,"SABAH","DISTRICT 175 (PAPAR)",175,"PARTI CINTA SABAH",0,"none",NA,"NA",0,0
"358","ELLISON LUDAN ANAK MUYAN",2013,"SARAWAK","DISTRICT 210 (KANOWIT)",210,"PARTI PEKERJA SARAWAK",0,"none",NA,"NA; NA",0,0
"359","ENGAH BIN SINTAN",2018,"SABAH","DISTRICT 182 (PENSIANGAN)",182,"BEBAS",0,"none",NA,"NA",0,0
"360","ER TECK HWA",2008,"JOHOR","DISTRICT 145 (BAKRI)",145,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-DEMOCRATIC ACTION PARTY)",1,"none","59104491","https://www.facebook.com/erteckhwafanpage",1,1
"361","ER TECK HWA",2013,"JOHOR","DISTRICT 145 (BAKRI)",145,"PARTI TINDAKAN DEMOKRATIK",1,"none","59104491","https://www.facebook.com/erteckhwafanpage",1,1
"362","ERIC CHOO WEI SERN",2018,"MELAKA","DISTRICT 138 (KOTA MELAKA)",138,"BARISAN NASIONAL",0,"none","185504910","https://www.facebook.com/EricChooWS",0,1
"363","EWON EBIN",2013,"SABAH","DISTRICT 179 (RANAU)",179,"BARISAN NASIONAL",1,"Minister of Science, Technology and Innovation of Malaysia","1524136867","NA",0,1
"364","EWON EBIN",2018,"SABAH","DISTRICT 179 (RANAU)",179,"BARISAN NASIONAL",0,"none","1524136867","NA",0,1
"365","FADILLAH BIN YUSOF",2008,"SARAWAK","DISTRICT 194 (PETRA JAYA)",194,"NATIONAL FRONT - UNITED TRADITIONAL BUMIPUTERA PARTY",1,"Deputy Minister of Science, Technology and Innovation","151798880","https://www.facebook.com/fadillahyusof194",1,1
"366","FADILLAH BIN YUSOF",2013,"SARAWAK","DISTRICT 194 (PETRA JAYA)",194,"BARISAN NASIONAL",1,"Minister of Works","151798880","NA",1,1
"367","FADILLAH BIN YUSOF",2018,"SARAWAK","DISTRICT 194 (PETRA JAYA)",194,"BARISAN NASIONAL",1,"Minister of Works","151798880","NA",1,1
"368","FADILLAH SABALI",2018,"SARAWAK","DISTRICT 206 (TANJONG MANIS)",206,"PARTI KEADILAN RAKYAT",0,"none","1158439229061361664","https://www.facebook.com/fadillahsabali",0,0
"369","FAHMI FADZIL",2018,"W.P. KUALA LUMPUR","DISTRICT 121 (LEMBAH PANTAI)",121,"PARTI KEADILAN RAKYAT",1,"none","10207732","https://www.facebook.com/Fahmi.Fadzil.1",1,1
"370","FAUZI BIN ABDUL RAHMAN",2013,"PAHANG","DISTRICT 082 (INDERA MAHKOTA)",82,"PARTI KEADILAN RAKYAT",1,"none","96528470","NA",0,1
"371","FAUZI BIN ABU BAKAR",2018,"W.P. KUALA LUMPUR","DISTRICT 121 (LEMBAH PANTAI)",121,"PARTI ISLAM SE MALAYSIA",0,"none","972109772102156288","https://www.facebook.com/hajifauzi.p121",0,0
"372","FAVIAN ANAK TISEN",2008,"SARAWAK","DISTRICT 192 (MAS GADING)",192,"INDIVIDUAL",0,"none","908583292756045824","NA",0,0
"373","FIDZUAN ZAIDI",2018,"SARAWAK","DISTRICT 193 (SANTUBONG)",193,"PARTI KEADILAN RAKYAT",0,"none",NA,"https://www.facebook.com/Mohamad-Fidzuan-Zaidi-746337635705218; https://www.facebook.com/Friends-of-Mohamad-Fidzuan-Zaidi-N05-DEMAK-LAUT-561797703981215",0,0
"374","FIKHRAN HAMSHI",2018,"KELANTAN","DISTRICT 021 (KOTA BHARU)",21,"BARISAN NASIONAL",0,"none","976118029938388992","https://www.facebook.com/fikhranhamshi; NA",0,1
"375","FONG CHAN ONN",2008,"MELAKA","DISTRICT 135 (ALOR GAJAH)",135,"NATIONAL FRONT - MALAYSIA CHINESE ASSOCIATION",1,"none","157883519","https://www.facebook.com/fongchanonn",0,1
"376","FONG KUI LUN",2008,"F.T. KUALA LUMPUR (W.P. KUALA LUMPUR)","DISTRICT 120 (BUKIT BINTANG)",120,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-DEMOCRATIC ACTION PARTY)",1,"none",NA,"https://www.facebook.com/DAPBB",0,0
"377","FONG KUI LUN",2013,"W.P. KUALA LUMPUR","DISTRICT 120 (BUKIT BINTANG)",120,"PARTI TINDAKAN DEMOKRATIK",1,"none",NA,"https://www.facebook.com/DAPBB",0,0
"378","FONG KUI LUN",2018,"W.P. KUALA LUMPUR","DISTRICT 120 (BUKIT BINTANG)",120,"PARTI KEADILAN RAKYAT",1,"none",NA,"https://www.facebook.com/DAPBB",0,0
"379","FONG PAU TECK",2008,"SARAWAK","DISTRICT 219 (MIRI)",219,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-DEMOCRATIC ACTION PARTY)",0,"none",NA,"NA",0,0
"380","FONG PO KUAN",2008,"PERAK","DISTRICT 066 (BATU GAJAH)",66,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-DEMOCRATIC ACTION PARTY)",1,"none",NA,"NA",0,0
"381","FUZIAH BINTI SALLEH",2008,"PAHANG","DISTRICT 083 (KUANTAN)",83,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",1,"none","83751166","https://www.facebook.com/YBFuziahSalleh",1,1
"382","FUZIAH BINTI SALLEH",2013,"PAHANG","DISTRICT 083 (KUANTAN)",83,"PARTI KEADILAN RAKYAT",1,"none","83751166","https://www.facebook.com/YBFuziahSalleh",1,1
"383","FUZIAH BINTI SALLEH",2018,"PAHANG","DISTRICT 083 (KUANTAN)",83,"PARTI KEADILAN RAKYAT",1,"Deputy Minister in the Prime Minister's Department : Religious Affairs","83751166","https://www.facebook.com/YBFuziahSalleh",1,1
"384","G MANIVANNAN A L GOWINDASAMY",2013,"SELANGOR","DISTRICT 109 (KAPAR)",109,"PARTI KEADILAN RAKYAT",1,"none","3243118634","https://www.facebook.com/ManivananGowinPage",1,1
"385","GAN JOON ZIN",2013,"W.P. KUALA LUMPUR","DISTRICT 120 (BUKIT BINTANG)",120,"BARISAN NASIONAL",0,"none","172637324; 181031036","https://www.facebook.com/Frankie-Gan-Joon-Zin-1820758821332066",0,1
"386","GAN PING SIEU",2018,"JOHOR","DISTRICT 152 (KLUANG)",152,"BARISAN NASIONAL",0,"none","145201618","https://www.facebook.com/pingsieu",1,1
"387","GAPARI BIN KATINGAN  GEOFFREY KITINGAN",2008,"SABAH","DISTRICT 180 (KENINGAU)",180,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",0,"none","1292289081146093568","https://www.facebook.com/drjeffreygkitingan",1,1
"388","GAPARI BIN KATINGAN  GEOFFREY KITINGAN",2013,"SABAH","DISTRICT 180 (KENINGAU)",180,"PARTI REFORMASI NEGERI",0,"none","1292289081146093568","https://www.facebook.com/drjeffreygkitingan",1,1
"389","GAPARI BIN KATINGAN  GEOFFREY KITINGAN",2018,"SABAH","DISTRICT 180 (KENINGAU)",180,"PARTI SOLIDARITI TANAH AIRKU",1,"Deputy Minister of Tourism, Arts and Culture","1292289081146093568","https://www.facebook.com/drjeffreygkitingan",1,1
"390","GEORGE ANAK LAGONG",2008,"SARAWAK","DISTRICT 216 (HULU RAJANG)",216,"INDIVIDUAL",0,"none",NA,"NA",0,0
"391","GEORGE ANAK LAGONG",2013,"SARAWAK","DISTRICT 216 (HULU RAJANG)",216,"PARTI PEKERJA SARAWAK",0,"none",NA,"NA",0,0
"392","GHAZALI ABDUL GHANI",2018,"SABAH","DISTRICT 187 (KINABATANGAN)",187,"PARTI WARISAN SABAH",0,"none",NA,"NA",0,0
"393","GHAZALI BIN IBRAHIM",2008,"KEDAH","DISTRICT 007 (PADANG TERAP)",7,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",0,"none",NA,"NA",0,0
"394","GOBALAKRISHNAN A L NAGAPAN",2008,"KEDAH","DISTRICT 017 (PADANG SERAI)",17,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",1,"none","133914466","https://www.facebook.com/YBNGK",1,1
"395","GOBALAKRISHNAN A L NAGAPAN",2013,"KEDAH","DISTRICT 017 (PADANG SERAI)",17,"INDEPENDENT",0,"none","133914466","https://www.facebook.com/YBNGK",1,1
"396","GOBIND SINGH DEO",2008,"SELANGOR","DISTRICT 103 (PUCHONG)",103,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-DEMOCRATIC ACTION PARTY)",1,"none","135542370","https://www.facebook.com/gobindsinghdeo",1,1
"397","GOBIND SINGH DEO",2013,"SELANGOR","DISTRICT 103 (PUCHONG)",103,"PARTI TINDAKAN DEMOKRATIK",1,"none","135542370","https://www.facebook.com/gobindsinghdeo",1,1
"398","GOBIND SINGH DEO",2018,"SELANGOR","DISTRICT 103 (PUCHONG)",103,"PARTI KEADILAN RAKYAT",1,"Minister of Communications and Multimedia","135542370","https://www.facebook.com/gobindsinghdeo",1,1
"399","GOH LEONG SAN",2018,"MELAKA","DISTRICT 138 (KOTA MELAKA)",138,"BEBAS",0,"none",NA,"NA",0,0
"400","GOOI HSIAO  LEUNG",2008,"KEDAH","DISTRICT 009 (ALOR STAR)",9,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",0,"none","25840223","https://www.facebook.com/Gooihsiaoleung",1,1
"401","GOOI HSIAO  LEUNG",2013,"KEDAH","DISTRICT 009 (ALOR STAR)",9,"PARTI KEADILAN RAKYAT",1,"none","25840223","https://www.facebook.com/Gooihsiaoleung",1,1
"402","GUAN DEE BIN KOH HOI",2013,"SABAH","DISTRICT 177 (BEAUFORT)",177,"PARTI REFORMASI NEGERI",0,"none",NA,"https://www.facebook.com/guandeekohhoi",0,0
"403","GWO BURNE LOH",2008,"SELANGOR","DISTRICT 104 (KELANA JAYA)",104,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",1,"none","708673662","NA",0,0
"404","HADNAN BIN MOHAMAD",2013,"W.P. LABUAN","DISTRICT 166 (LABUAN)",166,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/P166PasLabuan",0,0
"405","HAFEZ MUSA",2018,"SABAH","DISTRICT 178 (SIPITANG)",178,"BARISAN NASIONAL",1,"none","2238643677","NA",0,1
"406","HAI BIN MERAWIN  BONAVENTURE",2008,"SARAWAK","DISTRICT 213 (MUKAH)",213,"INDIVIDUAL",0,"none",NA,"NA",0,0
"407","HAI BIN MERAWIN  BONAVENTURE",2013,"SARAWAK","DISTRICT 213 (MUKAH)",213,"PARTI TINDAKAN DEMOKRATIK",0,"none",NA,"NA",0,0
"408","HAJI ALI LATIP BIN HAJI TAHA",2013,"SABAH","DISTRICT 187 (KINABATANGAN)",187,"INDEPENDENT",0,"none",NA,"NA",0,0
"409","HAJI AMZAD HASHIM",2018,"TERENGGANU","DISTRICT 036 (KUALA TERENGGANU)",36,"PARTI ISLAM SE MALAYSIA",1,"
Deputy Minister of Science, Technology and Innovation","1005640913698189056","https://www.facebook.com/HajiAmzadKualaTerengganu",1,1
"410","HAJI AZHARI SHAARI",2018,"SELANGOR","DISTRICT 108 (SHAH ALAM)",108,"BARISAN NASIONAL",0,"none","1252994476475207680; 601911341","https://www.facebook.com/AzhariShaariOfficial",0,1
"411","HAJI FAKARUDDIN",2018,"SELANGOR","DISTRICT 096 (KUALA SELANGOR)",96,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"412","HAJI MD JUSOH BIN DARUS",2018,"PAHANG","DISTRICT 088 (TEMERLOH)",88,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA; NA",0,0
"413","HAJI MOHAMAD NOOR MOHAMAD",2018,"W.P. KUALA LUMPUR","DISTRICT 119 (TITIWANGSA)",119,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"414","HAJI MOHD ALI BIN HAJI MOHD RUSTAM",2013,"MELAKA","DISTRICT 137 (BUKIT KATIL)",137,"BARISAN NASIONAL",0,"none","65868529","NA; https://www.facebook.com/tunalirustam",1,1
"415","HAJI MOHD ALI BIN HAJI MOHD RUSTAM",2018,"MELAKA","DISTRICT 137 (HANG TUAH JAYA)",137,"BARISAN NASIONAL",0,"none","65868529","NA; https://www.facebook.com/tunalirustam",1,1
"416","HAJI MOHD HAZIZI BIN AB RAHMAN",2013,"SELANGOR","DISTRICT 097 (SELAYANG)",97,"BARISAN JEMAAH ISLAMIAH SE MALAYSIA",0,"none",NA,"https://www.facebook.com/ustazhazizi",1,0
"417","HAJI RAFIEI",2018,"NEGERI SEMBILAN","DISTRICT 129 (KUALA PILAH)",129,"PARTI ISLAM SE MALAYSIA",0,"none","308869848","https://www.facebook.com/hajirafieimustapha",0,0
"418","HAJI RAMLEE MARAHABAN",2018,"SABAH","DISTRICT 189 (SEMPORNA)",189,"BARISAN NASIONAL",0,"none",NA,"https://www.facebook.com/umbpenerangansemporna",1,0
"419","HAJI RAZALI BIN TUMIRIN",2018,"W.P. KUALA LUMPUR","DISTRICT 116 (WANGSA MAJU)",116,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"420","HAJI SHARIFFUDDIN",2018,"NEGERI SEMBILAN","DISTRICT 128 (SEREMBAN)",128,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"421","HALIMAH BINTI MOHD SADIQUE",2008,"JOHOR","DISTRICT 155 (TENGGARA)",155,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"none","1250682676522016768","https://www.facebook.com/halimahsadique",1,1
"422","HALIMAH BINTI MOHD SADIQUE",2013,"JOHOR","DISTRICT 155 (TENGGARA)",155,"BARISAN NASIONAL",1,"Deputy Minister of Urban Wellbeing, Housing, and Local Government","1250682676522016768","https://www.facebook.com/halimahsadique",1,1
"423","HALIMAH BINTI MOHD SADIQUE",2018,"JOHOR","DISTRICT 156 (KOTA TINGGI)",156,"BARISAN NASIONAL",1,"Minister of National Unity","1250682676522016768","https://www.facebook.com/halimahsadique; NA",1,1
"424","HALIZA BINTI ABDULLAH",2018,"JOHOR","DISTRICT 150 (BATU PAHAT)",150,"BARISAN NASIONAL",0,"none","990479636575404032","https://www.facebook.com/HalizaAbdullahBP",1,1
"425","HAMDAN SANI",2018,"SARAWAK","DISTRICT 194 (PETRA JAYA)",194,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"426","HAMIDI BIN ABU HASSAN",2013,"KEDAH","DISTRICT 017 (PADANG SERAI)",17,"BARISAN JEMAAH ISLAMIAH SE MALAYSIA",0,"none",NA,"https://www.facebook.com/UstazHamidi",1,0
"427","HAMIM BIN SAMURI",2008,"JOHOR","DISTRICT 144 (LEDANG)",144,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"none","1082986808063881216","NA",0,1
"428","HAMIM BIN SAMURI",2013,"JOHOR","DISTRICT 144 (LEDANG)",144,"BARISAN NASIONAL",1,"Deputy Minister of International Trade and Industry ; Deputy Minister of Natural Resources and Environment","1082986808063881216","NA",0,1
"429","HAMIM BIN SAMURI",2018,"JOHOR","DISTRICT 144 (LEDANG)",144,"BARISAN NASIONAL",0,"none","1082986808063881216","NA",0,1
"430","HAMZA BIN A ABDULLAH  HAMZAH",2013,"SABAH","DISTRICT 185 (BATU SAPI)",185,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"431","HAMZAH ABDULLAH",2018,"SABAH","DISTRICT 185 (BATU SAPI)",185,"PARTI AMANAH NEGARA",0,"none",NA,"NA",0,0
"432","HAMZAH BIN JAAFAR",2008,"PAHANG","DISTRICT 081 (JERANTUT)",81,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PAN-ISLAMIC MALAYSIAN PARTY",0,"none",NA,"https://www.facebook.com/Hamzahjaaffar",0,0
"433","HAMZAH BIN ZAINUDIN",2008,"PERAK","DISTRICT 056 (LARUT)",56,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"Deputy Minister of Housing and Local Government; Deputy Minister of Plantation Industries and Commodities","313736415","https://www.facebook.com/hamzahzainudinofficial",1,1
"434","HAMZAH BIN ZAINUDIN",2013,"PERAK","DISTRICT 056 (LARUT)",56,"BARISAN NASIONAL",1,"Deputy Minister of Foreign Affairs ; Minister of Domestic Trade, Cooperatives and Consumerism","313736415","https://www.facebook.com/hamzahzainudinofficial",1,1
"435","HAMZAH BIN ZAINUDIN",2018,"PERAK","DISTRICT 056 (LARUT)",56,"BARISAN NASIONAL",1,"Minister of Home Affairs","313736415","https://www.facebook.com/hamzahzainudinofficial",1,1
"436","HANAPIAH BIN MOHAMAD",2013,"SELANGOR","DISTRICT 113 (SEPANG)",113,"INDEPENDENT",0,"none",NA,"NA",0,0
"437","HANIFAH HAJAR TAIB",2018,"SARAWAK","DISTRICT 213 (MUKAH)",213,"BARISAN NASIONAL",1,"Deputy Minister in the Prime Minister's Department: Sabah and Sarawak Affairs",NA,"https://www.facebook.com/Dato-Hanifah-Hajar-Taib-P-213-MUKAH-1483166015128752",1,0
"438","HANIFF  GHAZALI BIN HOSMAN",2013,"JOHOR","DISTRICT 164 (PONTIAN)",164,"PARTI KEADILAN RAKYAT",0,"none",NA,"NA",0,0
"439","HANNAH YEOH",2018,"W.P. KUALA LUMPUR","DISTRICT 117 (SEGAMBUT)",117,"PARTI KEADILAN RAKYAT",1,"Deputy Minister of Women, Family and Community Development","46005279","https://www.facebook.com/hannahyeoh",1,1
"440","HARON BIN DIN",2008,"PERLIS","DISTRICT 003 (ARAU)",3,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PAN-ISLAMIC MALAYSIAN PARTY",0,"none",NA,"https://www.facebook.com/Tuan-Guru-Dato-Dr-Haron-Din-317338313702",0,0
"441","HARON BIN DIN",2013,"PERLIS","DISTRICT 003 (ARAU)",3,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/Tuan-Guru-Dato-Dr-Haron-Din-317338313702",0,0
"442","HASAN BIN MALEK",2008,"NEGERI SEMBILAN","DISTRICT 129 (KUALA PILAH)",129,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",1,"Deputy Minister in the Prime Minister Department; Deputy Minister of Rural and Regional Development I",NA,"https://www.facebook.com/YB.Dato.Sri.Hasan.Malek",1,0
