userid,twitterid
1286673851548491777,yunovbz
820513441400000512,Risol_Kang
1335524201399078913,skymatchalatte
1335930845140402177,alwaysjylv
182234786,TEXTARPI
1275010241017462784,nct_menfess
1215948719339655168,kthpey
1349777707169579009,jjwonbby
1349960120340344833,ssupjeffrey
1253265654485934080,Hiibram
315139900,muthiastp
871388545,lovidinar
1227856555581685765,prettieze
1167038264521310208,pramuhtialll
78879048,uusbiasaaja
1135766093585248257,dwinawan_
1346848463271591939,njmsyaa
1358775422641602564,lolipup__
1305677343382360071,ohncdjeno_
1269194085442576384,glitersugar
1206957604938735616,vsungchanz
1125520077984419840,pengwinningg
1345027218389417985,bukanfarel
743452861271400448,iirman_
1291066882347266049,whosleonn
1128537802046468101,emilmarioo
1307357997522391042,Rules_twt
3922664052,junayyy__
1089506448252461058,Santi_nya
1372455091492511747,albakoratuna
1448979054753828866,bbyfaaaa
1644193351,NOBITAFESS
1164676656973303809,bunnyzalice
1315806462271082496,itsmepuja_
1294202697311166464,grumpyblumpy
1463647563945496576,purplerawrr
1163029378206298112,luvvcel
1142265662707912706,yaelahgita_
1061862850367344641,ryanandrn_
1200913682609258496,dedegemeshhhh
1120338480435908611,Txtdariplang
2653309910,manistapiboong
1384143301494800390,nanassmentahh
2834906952,uttazt_
1389416504160968704,patriciaata1
2428386445,utaeeeeee
1389413371439575044,NikiCharles10
1024559808681193473,marktheutic
1206379298346557440,cottoncskies
1336973860818677763,tsctzenn
163892185,heyayu_
1376324263368478723,tarrotcarrd
1369234394922160128,YBRAP
273357222,_Wendywalters
2975971327,BaliUtd
104714478,KPK_RI
1362360955653353474,megapilu
1205336011695259648,majelismeyong
701593068525326336,NyneComics
280834900,bliblidotcom
1140544939136188416,majeliskucing
853922261266440192,Tiaraaydzz
1364896622073634821,BBYHAJIKYU
1335884043687141377,imgfuncuk
1166372047380860929,doramiluvv
1364925036985864193,ChoonHee0
1153473163537162240,awwtasyaa
1277313210190753792,B_eebbii
1381538754452615170,LailaCahya14
891680047,TPNPB
243769932,FreePapua
747769303735410688,FreeWestPapuaNL
816307300616941569,VeronicaKoman
438800902,SuaraPapua
1211211756682395649,fahrrur_
544123865,varaarylinzar
1278681996445618178,txtdarisisange
137043879,BennyWenda
1194366334345236481,Tanahpapua4
71891556,FreeWestPapua
24677504,PurePapua
2265280754,whenstebay
1180117556398456837,Melki82471708
573043435,anginselatanopm
3235348579,Yance_Yobee
781510826406584320,gophertort45
2558074535,Papuanise
915152353,BeritaPapua
36988709,VictorcMambor
164838756,westpapuamedia
977943984398979072,friwp
1195802405595598849,YesayaGobay
1273894271179878400,Mulalt_
1226447876399628288,96DOYXC
1125923169301176320,lynxilfr
1226897752782598152,huangjlaov_
1305053570794811393,yoursimen
1428676380141649929,leeminour
1352062075514675200,bythewayten
1014489388292509696,areumddaeng
1364161466786406403,HAECHANILISM
1112712784565821441,jaehyungurll
1318566815337914370,llinoww
1377093756885692424,crush_berry3
1250780769531781122,k0pi_pahitku
2913389121,arjmxrell
1269095592094863360,sagigirlll
1350987519891042305,jjunkyukimm
954622885720551425,putrimath
528323008,deginting_
1243105899725484037,lovebuggg___
1435413097779392515,gebiaann
3110377854,panjidorky13Jr
1133784042829041665,gheaurelia
1225590159736856577,inijesiica
735358344106549248,CCICPolri
177848697,kemkominfo
1044419865619062784,divhubinter
1410331329292476417,dancowputih2
1232664749810151425,uculbat
1305106361500364800,fckkey
1442962631023857664,nnannaanan
1231641794871345153,HmmmTalahh
1168144915206832130,tereliyequote_
1122888776156495874,sukacoklaat
17128975,CNNIndonesia
261211170,LukasEnembe
442515255,detik
1078414510384238592,merdeka
759251,CNN
124171593,tribunnews
3827871,kompas
759692754985242625,kumparan
47274731,okezonenews
255866913,hariankompas
23786106,kompasiana
1088840895812722688,albertsamuel28
370621756,Kemenpora
188379631,INFO
148332642,handokotjung
79971836,adrianoqalbi
1292672743050100737,KhhFess
1340314024550965250,lilyforearm
1314975287294083073,convomf
1484040381880999938,masonyo7
1346608239790604288,lmrkdnt
1483387593400422409,LTYXJN
1449367138376904716,Zzia0_0
1462071053698535426,njunloml
1480850311493218305,gyuwonranghae
1313030698261856256,lemoniefess
1412376227243982848,lullabyreska
1387809239649841154,pawangjunkyu
1270662041842270212,trvsrutozz
1286945529541218305,jaexchvins
1354294249332740099,kircland
3328577580,chauratih
1373871260883509250,wa_ngyiren
1336852337541795840,youthfulwishes
1460475410278346761,nyemulee
1441685669210775556,astroemollient
1429305244148588549,Daegallele2
1345559202102562816,B3n1n9_17
979211506691657733,Lheea13
1396007109725016067,intantriastutii
1334285784111751168,kajii04
1398523501917597697,AninditaBrilli
1446622280457461760,sendokkeju
1309107492136398850,treandfla
1442884263116886019,iseucoopse
1257489240457244672,Naafrd_
