userid,twitterid
902806426061549568,['PwguWQt79pQz5gj']
3729773189,['melvavbrg']
2968192342,['AngelaFisher40']
745630879528124416,['JacksonBrookly']
902783382475743232,['TcmTE2H6WxrQ4Fh']
902851241759436800,['3xrVKytdmflyeox']
875923633423634433,['Hankelamaxiu']
461167049,['vladimerbagz']
902800917938020352,['qDL1JQmNtexqUwn']
4150070595,['npriceplz']
1125155879156879362,['Melissa64269411']
916839525611012097,['Sawyer19Carole']
929079099032723456,['lujunhelei51']
929452093303394304,['savvabasyuk6x']
902788179459276800,['r8qH41kwOK9p9Ej']
926054110486564870,['3WRPkL9N8o3hs8R']
756314835927830528,['milanakudryavc1']
902818972504031232,['G9TW24nAvPoVmW7']
902807523123761152,['giggsabc']
902805741085577216,['XJQDkqMXaea5jwM']
2914062932,['medigerkl']
916975232048685059,['katiushaegorov2']
893138215191891968,['ksiushalapina73']
4889276451,['routeggupuc1980']
747338501725663232,['golubevavenust1']
747323069790773248,['evseevvalerii11']
902786034290839553,['L5CdKPkdgIDTDXJ']
917104169466716160,['valentinovchar4']
929960934877159424,['VeraSudzhenko']
902818517053054976,['tz8HZ3MQZO54J6R']
898581524865589248,['syDhBAiA8Jauklp']
898512246980186112,['lYHHi92i6uCI3g8']
955718517193658368,['OlesyaPyzhikova']
745784197617430528,['borisisakovdiar']
1083240081937158144,['BBvzga']
898585178829967360,['YA58vT0YBQm0zGw']
925377191818547200,['RaufSergeev3400']
928157436967469057,['Penney53157226']
902781203622834176,['lSEmKjPwvek8dX1']
902780155592101888,['tzD0ZKu66AbMrku']
902787650318471168,['Vr1jkDsBdI2PeoB']
379225330,['whytravels']
898585303287566336,['mt78AbYP8EQOLBK']
898516286958972928,['bpIkIM6Mh3WElUP']
898519397849071616,['y3mgS890HgBIUeJ']
902818791742205952,['3rsEmZ6VBM282OR']
898513289914847233,['dEHiWWDoS5NDbRL']
17480774,['lapliniro1988']
902781724102451200,['dAwb2TpgLtZe5Z5']
898516123695632384,['onx9xuas29aG8my']
983556642796113920,['Rodrigu_beauty']
902782015954706432,['kwp5FDLpPAqzqLG']
745894860213878785,['belousovasofiy2']
898515901443657728,['rNuh5VIuaOMIwj5']
902783961415516160,['3GjT1BE6dfm3BRR']
944917444958793728,['kruslana1']
898584560786702336,['cWYMxpu5TFuRV3k']
898579548383719424,['PwGwtfSCw9OnccE']
747815251278766080,['incipcidi']
898584962097700864,['wPCSYBvzAoy9bYx']
902781700886982656,['smGSQe4718gA2S0']
924425633756717056,['eaishuvj']
918004408989782016,['Davii81Guerp']
898514800044634112,['oBM3q6uPmdykLEF']
898585808713781250,['8TJIWuzEmyGvXtD']
898585535098347520,['oib6CSiuwNEcCOr']
891009951891685376,['laOaEQuf0oRUC0h']
902782000855166977,['JYU3qJmGRkVMeh7']
431607682,['contsperpo']
927408049802956801,['DillieBeckham']
902817988776271872,['OPbuaxlXvCGarHQ']
898580289982803969,['xXTrDR7w0nSHJ3S']
910662567479066624,['RioStephencool']
966960500226498560,['cristjiajiajia']
4906853848,['GuilhermeJacira']
2782691954,['dick9bduc']
734432353154682881,['jimrainesid']
747340628820824064,['volodarvishnya4']
795721172289802240,['Dasha_kadet']
902786900074868736,['MJnePXasyd6Mnk0']
747351754723844096,['SemyonovaGera']
750891589459927040,['jookoo5']
898577880640352256,['AVsD7cQY60h0fNG']
756336579162013696,['pyotr_safonov']
930597980083650561,['RosRos2349']
